NO_PRESTADOR;FANTASIA;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;TELEFONE1;TELEFONE2
HOSPITAL BEIRA MAR;HOSPITAL BEIRA MAR LTDA;153;RUA GENERAL ACASTRO DE CAMPOS;CENTRO;FLORIANOPOLIS;SC;Grande Florianópolis;ORTOPEDIA E TRAUMATOLOGIA  / UROLOGIA  / MASTOLOGIA  / INFECTOLOGIA  / CIRURGIA GERAL  / GINECOLOGIA E OBSTETRICIA  / ANESTESIOLOGIA;32250110;
HOSPITAL DE MIRACEMA;HOSPITAL DE MIRACEMA;500;RUA JOSE MONTEIRO DE BARROS;HOSPITAL;MIRACEMA;RJ;Noroeste;GINECOLOGIA E OBSTETRICIA  / ANGIOLOGIA E CIRURGIA VASCULAR   / PEDIATRIA  / HEMATOLOGIA  / ULTRA-SONOGRAFIA  / DERMATOLOGIA   / HOMEOPATIA  / CIRURGIA TORACICA  / MEDICINA DA FAMÍLIA E COMUNIDADE / ANESTESIOLOGIA  / CIRURGIA GERAL  / GENETICA MÉDICA / CIRURGIA DE CABEÇA E PESCOÇO / PNEUMOLOGIA  / INFECTOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / MUSICOTERAPIA  / FISIOTERAPIA / TOMOGRAFIA COMPUTADORIZADA  / MEDICINA INTENSIVA / MASTOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / OTORRINOLARINGOLOGIA  / ASSISTÊNCIA HOSPITALAR TRATAMENTO DENTÁRIO / TERAPIA OCUPACIONAL  / ALERGIA E IMUNOLOGIA  / CANCEROLOGIA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / RADIOTERAPIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / GASTROENTEROLOGIA  / CARDIOLOGIA  / CIRURGIA DA MÃO / CIRURGIA PEDIATRICA  / ACUPUNTURA  / NUTROLOGIA / REUMATOLOGIA  / NUTRICAO / CIRURGIA CARDIOVASCULAR  / COLOPROCTOLOGIA / HEMOTERAPIA  / RESSONANCIA MAGNETICA NUCLEAR  / NEFROLOGIA  / PSIQUIATRIA  / PATOLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / MEDICINA DO TRABALHO / NEUROLOGIA  / FONOAUDIOLOGIA  / UROLOGIA  / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / GERIATRIA   / REMOCOES  / CIRURGIA PLÁSTICA / APARELHOS E OBJETOS FINALIDADE MÉDICA / RADIODIAGNÓSTICO / MEDICINA FISICA E REABILITACAO  / PSICOLOGIA  / MEDICINA NUCLEAR  / CIRURGIA DO APARELHO DIGESTIVO / OFTALMOLOGIA  / NEUROCIRURGIA  / CLÍNICA MÉDICA / ENFERMAGEM;;
HOSPITAL DE OLHOS DE COLINAS LTDA;HOSPITAL DE OLHOS DE COLINAS;911;RUA MACEDO FILHO;CENTRO;COLINAS;MA;Alpercatas;OFTALMOLOGIA;;
HOSPITAL DE OLHOS DE CRICIUMA LTDA;HOSPITAL DE OLHOS DE CRICIUMA;485;RUA JÚLIO GAIDZINSKI;CRUZEIRO DO SUL;CRICIUMA;SC;Criciúma;OFTALMOLOGIA;30561051;
HOSPITAL DOS OLHOS SUDOESTE DE MINAS LTDA;HOSPITAL DOS OLHOS SUDOESTE DE MINAS;177;RUA DOUTOR SATURNINO;CENTRO;PASSOS;MG;Passos;OFTALMOLOGIA;35226561;
HOSPITAL E MATERNIDADE SAO MARCOS LTDA;HOSPITAL JACOB FACURI;657;RUA 8;SETOR CENTRAL;GOIANIA;GO;Central;NEUROLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / FISIOTERAPIA / CIRURGIA TORACICA  / PEDIATRIA  / CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS / PSICOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / UROLOGIA  / HEMATOLOGIA E HEMOTERAPIA / PATOLOGIA / CIRURGIA DE CABEÇA E PESCOÇO / OTORRINOLARINGOLOGIA  / CIRURGIA PLÁSTICA / CLÍNICA MÉDICA / CARDIOLOGIA  / REUMATOLOGIA  / PNEUMOLOGIA  / CIRURGIA CARDIOVASCULAR  / NEUROCIRURGIA  / GINECOLOGIA E OBSTETRICIA  / INFECTOLOGIA  / CIRURGIA ONCOLÓGICA / NEFROLOGIA  / CIRURGIA VASCULAR / CIRURGIA DO APARELHO DIGESTIVO / ANGIOLOGIA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CIRURGIA GERAL  / COLOPROCTOLOGIA / MASTOLOGIA  / MEDICINA INTENSIVA / FONOAUDIOLOGIA  / ONCOLOGIA CLÍNICA;36211919;
HOSPITAL ESPERANCA SA;HOSPITAL ESPERANCA SA;2028;AVENIDA SANTOS DUMONT;CENTRO;LAURO DE FREITAS;BA;Salvador;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CIRURGIA TORACICA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / NEFROLOGIA  / OFTALMOLOGIA  / CARDIOLOGIA  / DERMATOLOGIA   / GINECOLOGIA E OBSTETRICIA  / UROLOGIA  / ANGIOLOGIA / CIRURGIA VASCULAR / MEDICINA FISICA E REABILITACAO  / NEUROLOGIA  / HEMATOLOGIA E HEMOTERAPIA / CIRURGIA GERAL  / GERIATRIA   / FONOAUDIOLOGIA  / INFECTOLOGIA  / PNEUMOLOGIA  / OTORRINOLARINGOLOGIA  / PSIQUIATRIA  / FISIOTERAPIA / ORTOPEDIA E TRAUMATOLOGIA  / PEDIATRIA  / ENDOSCOPIA / ANESTESIOLOGIA  / CLÍNICA MÉDICA / ALERGIA E IMUNOLOGIA  / NEUROCIRURGIA;30333230;
HOSPITAL FORMA LTDA;HOSPITAL FORMA;1465;RUA ALVARENGA PEIXOTO;SANTO AGOSTINHO;BELO HORIZONTE;MG;Belo Horizonte;ORTOPEDIA E TRAUMATOLOGIA  / ANESTESIOLOGIA  / ANGIOLOGIA / UROLOGIA  / COLOPROCTOLOGIA / CIRURGIA DO APARELHO DIGESTIVO / MASTOLOGIA  / NEUROCIRURGIA  / GINECOLOGIA E OBSTETRICIA  / CIRURGIA GERAL;33356611;
HOSPITAL MATER DEI S.A.;HOSPITAL MATER DEI NOVA LIMA;61;ALAMEDA OSCAR NIEMEYER;VILA DA SERRA;NOVA LIMA;MG;Belo Horizonte;GERIATRIA   / CIRURGIA VASCULAR / MEDICINA NUCLEAR  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / CIRURGIA TORACICA  / ANESTESIOLOGIA  / NEFROLOGIA  / UROLOGIA  / FISIOTERAPIA / ANGIOLOGIA / CIRURGIA CARDIOVASCULAR  / PEDIATRIA  / PATOLOGIA / ALERGIA E IMUNOLOGIA  / COLOPROCTOLOGIA / PSIQUIATRIA  / MEDICINA INTENSIVA / GINECOLOGIA E OBSTETRICIA  / FONOAUDIOLOGIA  / NEUROLOGIA  / OTORRINOLARINGOLOGIA  / CARDIOLOGIA  / NEUROCIRURGIA  / CIRURGIA DO APARELHO DIGESTIVO / DERMATOLOGIA   / HEMATOLOGIA E HEMOTERAPIA / PSICOLOGIA  / CIRURGIA PEDIATRICA  / ORTOPEDIA E TRAUMATOLOGIA  / PNEUMOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CLÍNICA MÉDICA / ENDOCRINOLOGIA E METABOLOGIA / CIRURGIA PLÁSTICA / MASTOLOGIA  / REUMATOLOGIA  / CIRURGIA DA MÃO / ENDOSCOPIA / INFECTOLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO / CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS / GASTROENTEROLOGIA  / CIRURGIA GERAL;33399221;
HOSPITAL OTOCENTRO DE LONDRINA LTDA;OTOCENTRO CENTRO DE OTORRINO LTDA;635;RUA MARTIN LUTHER KING;LAGO PARQUE;LONDRINA;PR;Londrina;OTORRINOLARINGOLOGIA  / OFTALMOLOGIA  / FONOAUDIOLOGIA;33241212;
HOSPITAL SANTO ANTONIO;HOSPITAL SANTO ANTONIO;545;RUA ITAJAÍ;VORSTADT;BLUMENAU;SC;Blumenau;MEDICINA DO TRABALHO / FISIOTERAPIA / PEDIATRIA  / GINECOLOGIA E OBSTETRICIA  / NEUROLOGIA  / PSIQUIATRIA  / HEMATOLOGIA E HEMOTERAPIA / CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS / ENFERMAGEM  / DERMATOLOGIA   / CIRURGIA CARDIOVASCULAR  / GERIATRIA   / REMOCOES  / APARELHOS E OBJETOS FINALIDADE MÉDICA / NUTRICAO / MUSICOTERAPIA  / PATOLOGIA / CIRURGIA PEDIATRICA  / CARDIOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / GENETICA MÉDICA / OTORRINOLARINGOLOGIA  / UROLOGIA  / MEDICINA NUCLEAR  / ANGIOLOGIA E CIRURGIA VASCULAR   / CIRURGIA DE CABEÇA E PESCOÇO / ANESTESIOLOGIA  / ENDOSCOPIA / PNEUMOLOGIA  / REUMATOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / MEDICINA FISICA E REABILITACAO  / CIRURGIA GERAL  / HOMEOPATIA  / FONOAUDIOLOGIA  / RESSONANCIA MAGNETICA NUCLEAR  / CLÍNICA MÉDICA / CIRURGIA TORACICA  / NEFROLOGIA  / RADIODIAGNÓSTICO / MASTOLOGIA  / ACUPUNTURA  / INFECTOLOGIA  / ALERGIA E IMUNOLOGIA  / ULTRA-SONOGRAFIA  / COLOPROCTOLOGIA / HEMATOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / MEDICINA INTENSIVA / CANCEROLOGIA / PSICOLOGIA  / TERAPIA OCUPACIONAL  / ONCOLOGIA CLÍNICA / ASSISTÊNCIA HOSPITALAR TRATAMENTO DENTÁRIO / RADIOTERAPIA  / GASTROENTEROLOGIA  / HEMOTERAPIA  / OFTALMOLOGIA  / NEUROCIRURGIA  / NUTROLOGIA / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / TOMOGRAFIA COMPUTADORIZADA  / CIRURGIA DO APARELHO DIGESTIVO / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / CIRURGIA DA MÃO / CIRURGIA PLÁSTICA;32314000;
HOSPITAL SAO SEBASTIAO DE RAUL SOARES;HOSPITAL SAO SEBASTIAO DE RAUL SOARES;0;ADELINO AZEVEDO;CENTRO;RAUL SOARES;MG;Ponte Nova;PSICOLOGIA  / ENFERMAGEM  / HEMOTERAPIA  / NEFROLOGIA  / REMOCOES  / PEDIATRIA  / GINECOLOGIA E OBSTETRICIA  / HEMATOLOGIA E HEMOTERAPIA / OTORRINOLARINGOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / UROLOGIA  / ULTRA-SONOGRAFIA  / PATOLOGIA / ORTOPEDIA E TRAUMATOLOGIA  / CIRURGIA GERAL  / NUTROLOGIA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / GASTROENTEROLOGIA  / RADIODIAGNÓSTICO / CARDIOLOGIA  / OFTALMOLOGIA  / CIRURGIA DO APARELHO DIGESTIVO / CIRURGIA PEDIATRICA  / ANESTESIOLOGIA  / CLÍNICA MÉDICA;33511108;
HOSPITAL VISAO LITORAL LTDA;HOSPITAL VISAO LITORAL;263;RUA 214;MEIA PRAIA;ITAPEMA;SC;Balneário Camboriú;OFTALMOLOGIA  / CLÍNICA MÉDICA;33685333;
HWL MAIS CENTRO MEDICO BALSAS LTDA;HWL CLINICA MAIS CENTRO MEDICO LTDA;820;ANTONIO JACOBINA,;CENTRO;BALSAS;MA;Gerais de Balsas;CARDIOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / MASTOLOGIA  / NUTRICAO / OFTALMOLOGIA  / REUMATOLOGIA  / NEUROCIRURGIA  / ENDOCRINOLOGIA E METABOLOGIA / COLOPROCTOLOGIA / OTORRINOLARINGOLOGIA  / CIRURGIA ONCOLÓGICA / PSICOLOGIA  / CIRURGIA PLÁSTICA / GINECOLOGIA E OBSTETRICIA  / UROLOGIA  / ANESTESIOLOGIA  / CIRURGIA DO APARELHO DIGESTIVO / CLÍNICA MÉDICA / CIRURGIA GERAL;31999559;
HYPOLITO PSICOLOGIA LTDA;HYPOLITO PSICOLOGIA;600;AVENIDA JORGE SCHIMMELPFENG,;CENTRO;FOZ DO IGUACU;PR;Foz do Iguaçu;PSICOLOGIA;;
IBACA INSTITUTO BIOMEDICO DE ANALISE CLINICA;LABCLINICA;1805;AVENIDA NUMERIANO BEZERRA DE CASTRO;BELA VISTA;PEDRO AFONSO;TO;Região de Saúde Cultura do Cerrado;PATOLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;34661818;
IBI CLINICA MEDICA DE RESSONANCIA MAGNETICA;ITAMAX RESSONANCIA MAGNETICA;900;RUA PADRE BERNARDO PLATE;POLO CENTRO;FOZ DO IGUACU;PR;Foz do Iguaçu;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;30295454;
ICAM INSTITUTO CAMPINENSE DA MULHER;ICAM INSTITUTO CAMPINENSE DA MULHER;630;RUA DUQUE DE CAXIAS;PRATA;CAMPINA GRANDE;PB;III Núcleo Regional de Saúde;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / MASTOLOGIA  / CIRURGIA GERAL  / PEDIATRIA  / GINECOLOGIA E OBSTETRICIA;32018097;
ICDS INSTITUTO DE COOPERACAO PARA O DESENVOLVIMENTO DA SAU;UNIHEALTH PRONTO ATENDIMENTO E HOSPITAL TRES VALES;255;RUA DETSI GAZZINELLI;CASTRO PIRES;TEOFILO OTONI;MG;Teófilo Otoni;COLOPROCTOLOGIA / ENDOSCOPIA / MEDICINA INTENSIVA / GASTROENTEROLOGIA  / ALERGIA E IMUNOLOGIA  / CARDIOLOGIA  / CIRURGIA PEDIATRICA  / ORTOPEDIA E TRAUMATOLOGIA  / NEFROLOGIA  / CLÍNICA MÉDICA / OTORRINOLARINGOLOGIA  / NEUROLOGIA  / CIRURGIA GERAL  / GINECOLOGIA E OBSTETRICIA  / PEDIATRIA  / CIRURGIA VASCULAR / PNEUMOLOGIA  / UROLOGIA  / ANESTESIOLOGIA  / INFECTOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;35291100;
ICTUS CLINICA MEDICA S S LTDA;ICTUS CLINIC;834;RUA PERONDI IGINIO;CENTRO;PORTO FERREIRA;SP;Araraquara;CARDIOLOGIA;35811286;
IDENGENE MEDICINA DIAGNOSTICA S A;ONCOCLINICAS CQO THE PLACE;126;RUA TOBIAS DA SILVA;MOINHOS DE VENTO;PORTO ALEGRE;RS;CRS 01 Porto Alegre;REUMATOLOGIA  / CIRURGIA ONCOLÓGICA / HEMATOLOGIA E HEMOTERAPIA / RADIOTERAPIA  / GENETICA MÉDICA / ONCOLOGIA CLÍNICA / ENFERMAGEM;33088000;
IDESC INST DE DIAGNOSTICO ESPECIALIZADO LTDA;IDESC CATALAO;139;AVENIDA FARID MIGUEL SAFATLE;SETOR CENTRAL;CATALAO;GO;Estrada de Ferro;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;34412291;
IGOR NOBREGA FERREIRA EIRELI ME;LABORATORIO BIOANALISE;215;RUA PEREGRINO FILHO;CENTRO;PATOS;PB;VI Núcleo Regional de Saúde;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;34213331;
IGOR ROBERTO CANDIDO DE OLIVEIRA LTDA;IGOR ROBERTO CANDIDO DE OLIVEIRA LTDA;35;RUA FERNANDO COSTA;HIGIENÓPOLIS;ARACATUBA;SP;Araçatuba;PSICOLOGIA;;
IL ASSISTENCIA MEDICA DOMICILIAR LTDA;MEDLAR HOME CARE AID HOME;1977;RUA SÃO PEDRO;CENTRO;TERESINA;PI;TD Entre Rios;ENFERMAGEM  / FISIOTERAPIA / CLÍNICA MÉDICA / GERIATRIA   / PSICOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / NEUROLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / GINECOLOGIA E OBSTETRICIA  / NUTRICAO;30254585;
IMAGEM LAB DE ANALISES RADIOLOGICAS LTDA;IMAGEM LAB DE ANALISES RADIOLOGICAS LTDA;1250;BARAO DO RIO BRANCO;CENTRO;CRUZ ALTA;RS;CRS 09 Cruz Alta;CARDIOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;33221909;
IMAGEM NOROESTE PADUENSE DIAGNOSTICOS DIGITAIS LTDA;IMAGEM NOROESTE;112;CORONEL OLIVIER;CENTRO;SANTO ANTONIO DE PADUA;RJ;Noroeste;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;38530848;
IMEDIATA SAUDE SERVICOS DE RESSONANCIA MAGNETICA LTDA;IMEDIATA SAUDE SERVICOS DE RESSONANCIA MAGNETICA L;17;PEDRO JOSE RODRIGUES;CENTRO;ARARIPINA;PE;Ouricuri;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;;
IMEDIC MEDICINA INTELIGENTE;IMEDIC MEDICINA INTELIGENTE CLINICA MEDICA LTDA;910;RUA JOAO SARMENTO;CENTRO;OSORIO;RS;CRS 18 Osório;CIRURGIA GERAL  / ENDOSCOPIA / NEUROCIRURGIA  / CARDIOLOGIA  / GINECOLOGIA E OBSTETRICIA  / CLÍNICA MÉDICA / DERMATOLOGIA;31916484;
IMOSP INSTITUTO DE MEDICINA DE OLHOS DO SUL DO PARA LTDA;IMOSP;0;ITAIPU;VILA PERMANENTE;HIDRELETRICA TUCURUI;PA;Lago Tucuruí;OFTALMOLOGIA;37871239;
INAE MURIEL GONCALVES DE SANTANA LTDA;ESPACO MURIEL;594;RUA BRUNO GARCIA;CENTRO;TRES LAGOAS;MS;NCT de Três Lagoas;PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL;;
INFANCE - CLINICA ESPECIALIZADA EM ATENDIMENTO INFANTO-JUVENIL LTDA;INFANCE CLINICA ESPECIALIZADA;70;JOSE CARTAXO ANDRIOLA;SANTA CECILIA;CAJAZEIRAS;PB;IX Núcleo Regional de Saúde;FISIOTERAPIA / PEDIATRIA  / PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;
INFANTESER CLINICA DE DESENVOLVIMENTO INFANTIL;DANIELLA BRAGA DE BRITO;830;RUA RIBEIRO DE BRITO;BOA VIAGEM;RECIFE;PE;Recife;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA;;
INNOVAMED TERAPIAS ESPECIAIS LTDA;INNOVAMED KIDS;893;AVENIDA SÃO GERALDO;FLAMENGO;VITORIA DA CONQUISTA;BA;Vitória da Conquista;PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / FISIOTERAPIA;32028353;
INOVE CENTRO DE CUIDADOS MEDICOS LTDA;INOVE CENTRO DE CUIDADOS MEDICOS;1563;RUA NICOLAU KLUPPEL NETO;CONTORNO;PONTA GROSSA;PR;Ponta Grossa;CIRURGIA VASCULAR / DERMATOLOGIA   / PSICOLOGIA  / CLÍNICA MÉDICA / OFTALMOLOGIA  / REUMATOLOGIA;;
INSPIRAR CLINICA MEDICA LTDA;INSPIRAR CLINICA MEDICA;499;RUA SANTA CATARINA;CENTRO;CASCAVEL;PR;Cascavel;PNEUMOLOGIA;;
INSPIRE LABORATORIO DE FUNCAO PULMONAR LTDA;INSPIRE;466;RUA SÃO PAULO;CENTRO;ERECHIM;RS;CRS 11 Erechim;PNEUMOLOGIA;35208490;
INST SEIXAS DE NEUROLOGIA E ESPEC. PEDIATRICA (ISNEP);CLINICAS SEIXAS ESPECIALIDADES LTDA;4;SETOR D SUL;TAGUATINGA SUL (TAGUATINGA);BRASILIA;DF;Distrito Federal;PSIQUIATRIA  / NEUROLOGIA  / PEDIATRIA;33516821;
INST. DERMATOLOGIA ESPECIAL. CLIN. CENTRO OESTE DE MINAS - IDECOM LTDA;IDECOM;323;AVENIDA ALBA REGINA CAMPOS;TROPICAL;ITAUNA;MG;Divinópolis;DERMATOLOGIA;;
INSTITUTO ANNE ALBUQUERQUE REABILITACAO DO MEMBRO SUPERIOR;INSTITUTO ANNE ALBUQUERQUE REABILITACAO DO MEMBRO;1206;AVENIDA CONSELHEIRO ROSA E SILVA;AFLITOS;RECIFE;PE;Recife;FISIOTERAPIA;;
INSTITUTO BIOFOCO FISIOTERAPIA LTDA;INSTITUTO BIOFOCO;197;RUA JOSÉ MATTAR;JARDIM SÃO DIMAS;SAO JOSE DOS CAMPOS;SP;Taubaté;PSICOLOGIA  / FISIOTERAPIA / FONOAUDIOLOGIA;32045009;
INSTITUTO CATA VENTO LTDA;INSTITUTO CATA VENTO;809;RUA FRANCISCO PORTUGAL;GRAGERU;ARACAJU;SE;Região Aracaju;PSICOLOGIA;;
INSTITUTO DA VISAO S/S LTDA;;225;RUA GOIÁS;ESTADOS;JOAO PESSOA;PB;I Núcleo Regional de Saúde;OFTALMOLOGIA;;
INSTITUTO DE CARDIOLOGIA ECOVILLE LTDA;INSTITUTO DE CARDIOLOGIA ECOVILLE;438;RUA HERCULANO CARLOS FRANCO DE SOUZA;ÁGUA VERDE;CURITIBA;PR;Metropolitana;CARDIOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA;33000909;
INSTITUTO DE DIAGNOSTICO ESP POR IMAGEM DE MS;IPEDI MS INSTITUTO DO PANTANAL ESPECIALIZADO EM DI;313;RUA DO CATETÉ;JARDIM MONTE LÍBANO;CAMPO GRANDE;MS;NCT de Campo Grande;MEDICINA NUCLEAR  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;32040580;
INSTITUTO DE FONOAUDIOLOGIA INAYARA CURTI;INSTITUTO DE FONOAUDIOLOGIA  INAYARA CURTI;523;RUA JOÃO GODOY;JARDIM AMÉRICA;RIBEIRAO PRETO;SP;Ribeirão Preto;FONOAUDIOLOGIA  / PSICOLOGIA;39112255;
INSTITUTO DE FONOAUDIOLOGIA OLIVEIRA LTDA;INSTITUTO DE FONOAUDIOLOGIA AVANCADO;108;CAMPOS SALES;RENATO GONÇALVES;BARREIRAS;BA;Barreiras;TERAPIA OCUPACIONAL / PSICOLOGIA  / FISIOTERAPIA / FONOAUDIOLOGIA;36117871;
INSTITUTO DE HEMOTERAPIA E HEMATOLOGIA DO MARANHAO LTDA;HAIMA;62;RUA FREI QUERUBIM;APICUM;SAO LUIS;MA;Ilha do Maranhão;HEMATOLOGIA E HEMOTERAPIA;32323342;
INSTITUTO DE IMAGEM DE PAULO AFONSO LTDA;INSTITUTO DE IMAGEM DE PAULO AFONSO LTDA;935;RUA MARECHAL FLORIANO PEIXOTO;CENTRO;PAULO AFONSO;BA;Paulo Afonso;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;21015000;
INSTITUTO DE OLHOS NOVA ANDRADINA LTDA;INSTITUTO DE OLHOS NOVA ANDRADINA LTDA;1420;RUA SETE DE SETEMBRO;CENTRO;NOVA ANDRADINA;MS;NCT de Nova Andradina;OFTALMOLOGIA;;
INSTITUTO DE ORTOPEDIA E TRAUMATOLOGIA DE RONDONIA;INSTITUTO DE ORTOPEDIA E TRAUMATOLOGIA DE RONDÔNIA;;;;;;;ORTOPEDIA E TRAUMATOLOGIA  / REUMATOLOGIA;;
INSTITUTO DE PATOLOGIA DE PASSO FUNDO LTDA;;7;R JOAO PERONDI;CENTRO;IJUI;RS;CRS 17 Ijuí;PATOLOGIA CLINICA / MEDICINA LABORATORIAL / PATOLOGIA;31950898;
INSTITUTO DE PSIQUIATRIA ANTONIO SOARES LTDA;IDHAS-INSTITUTO DE DESENVOLVIMENTO DR.ANTONIO SOAR;155;RUA URBANO SANTOS;CENTRO;IMPERATRIZ;MA;Tocantins;PSIQUIATRIA  / PSICOLOGIA;;
INSTITUTO DE SAUDE E SERVICOS SOCIAIS EQUILIBRIO LTDA;INSTITUTO EQUILIBRIO;219;LUIS DE ALMEIDA COUTO;CIDADE DOS LAGOS;VIANA;MA;Lagos;PSICOLOGIA  / NUTRICAO / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA;33511517;
INSTITUTO DE SAUDE MENTAL ALLEGRO LTDA;CLINICA MEDICA ELISA;318;HUMBERTO DE CAMPOS;CENTRO;GUANAMBI;BA;Guanambi;PSICOLOGIA  / NEUROLOGIA  / NUTRICAO / CLÍNICA MÉDICA / TERAPIA OCUPACIONAL / PSIQUIATRIA  / FISIOTERAPIA / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS;33331111;
INSTITUTO DHC DE PSICOLOGIA LTDA;INSTITUTO DHC DE PSICOLOGIA;2002;AVENIDA CESÁRIO ALVIM;NOSSA SENHORA APARECIDA;UBERLANDIA;MG;Uberlândia;PSICOLOGIA;;
INSTITUTO DO RIM E TRANSPLANTE GURUPI LTDA;INSTITUTO DO RIM E TRANSPLANTE GURUPI;2071;AVENIDA ALAGOAS;SETOR UNIÃO IV;GURUPI;TO;Região de Saúde Centro-Sul;NEFROLOGIA  / NUTRICAO / PEDIATRIA;33016081;
INSTITUTO DO SONO DO VALE SAO FRANCISCO;INSTITUTO DO SONO DO VALE SAO FRANCISCO;330;RUA DOUTOR JÚLIO DE MELO;CENTRO;PETROLINA;PE;Petrolina;OTORRINOLARINGOLOGIA;36118466;
INSTITUTO E CLINICA DE ESTOMATERAPIA, ESTETICA E SAUDE LTDA;CLINICA TRATIPELE;884;AVENIDA JUSCELINO KUBITSCHEK;ALTO SÃO FRANCISCO;QUIXADA;CE;Quixadá;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / PSICOLOGIA  / FISIOTERAPIA / TERAPIA OCUPACIONAL;21474855;
INSTITUTO INTEGRARTE DIMITRI ANDRADE;INSTITUTO INTEGRARTE DIMITRI ANDRADE;195;RUA SIDERAL;BOA VIAGEM;RECIFE;PE;Recife;FONOAUDIOLOGIA  / FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS;;
INSTITUTO INTEGRARTE DIMITRI ANDRADE;INTEGRARTE PSICOLOGIA CLINICA;211;R DOM EXPEDITO LOPES;MODELO;PALMARES;PE;Palmares;FISIOTERAPIA / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;
INSTITUTO INTENSE DE PSICOLOGIA E SAUDE LTDA;INSTITUTO INTENSE DE PSICOLOGIA E SAUDE;3561;RUA BENJAMIM CONSTANT;VILA IMPERIAL;SAO JOSE DO RIO PRETO;SP;São José do Rio Preto;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / NUTRICAO / PSICOLOGIA;;
INSTITUTO JAIME CERQUEIRA MEDICINA E DIAGNOSTICO DO RECONCAV;LABORATORIO JAIME CERQUEIRA;35;RUA FERREIRA BASTOS;BATATAN;NAZARE;BA;Santo Antônio de Jesus;PATOLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;
